1,Ags,AGUASCALIENTES,AGUASCALIENTES,449--,11,696683,728924,Martín Orozco Sandoval,1,PAN,01/12/2016,30/09/2021,29/06/1966,Occidente,Medio,Alta,Media,Templado,Medio
3,BCS,BAJA CALIFORNIA SUR,LA PAZ,612-624-,5,405879,392568,Carlos Mendoza Davis,1,PAN,10/09/2015,09/09/2021,21/04/1970,Norte,Medio,Media,Alta,Tropical,Medio
6,Col,COLIMA,COLIMA,312--,10,360622,370769,Javier Corral Jurado,1,PAN,04/10/2016,07/09/2021,02/06/1966,Occidente,Medio,Media,Media,Tropical,Medio
10,Dgo,DURANGO,DURANGO,674-618-,39,904866,927784,José Rosas Aispuro,1,PAN,15/09/2016,14/09/2022,15/08/1961,Norte,Bajo,Media,Baja,Arido,Medio
11,Gto,GUANAJUATO,GUANAJUATO,473-464-466,46,2996454,3170480,Diego Sinhue Rodríguez Vallejo,1,PAN,26/09/2018,25/09/2024,04/11/1980,Occidente,Medio,Alta,Alta,Templado,Alto
18,Nay,NAYARIT,TEPIC,311-323-,20,612278,623178,Antonio Echevarría García,1,PAN,19/09/2017,18/09/2021,22/04/1973,Occidente,Medio,Media,Alta,Tropical,Medio
22,Qro,QUERETARO,QUERETARO,442-446-,18,1156820,1211647,Francisco Domínguez Servién,1,PAN,01/10/2015,30/09/2021,11/08/1966,Centro,Alto,Alta,Media,Templado,Alto
28,Tamps,TAMAULIPAS,CIUDAD VICTORIA,834-899-868,43,1736140,1791595,Francisco Javier García Cabeza de Vaca,1,PAN,01/10/2016,30/09/2021,17/09/1967,Norte,Medio,Alta,Media,Templado,Medio
31,Yuc,YUCATAN,MERIDA,999-986-,106,1140279,1180619,Mauricio Vila Dosal,1,PAN,01/10/2018,30/09/2024,30/03/1980,Sur-Sureste,Medio,Alta,Alta,Tropical,Medio
